time,latitude,longitude,altitude
1697739296.661163,nan,nan,nan
1697739296.7614121,nan,nan,nan
1697739296.8616176,nan,nan,nan
1697739296.9614003,nan,nan,nan
1697739297.0614183,nan,nan,nan
1697739297.1618924,nan,nan,nan
1697739297.2622485,nan,nan,nan
1697739297.3618398,nan,nan,nan
1697739297.461858,nan,nan,nan
1697739297.5613086,nan,nan,nan
1697739297.6617324,nan,nan,nan
1697739297.761344,nan,nan,nan
1697739297.8618233,nan,nan,nan
1697739297.961472,nan,nan,nan
1697739298.061464,nan,nan,nan
1697739298.1613514,nan,nan,nan
1697739298.2618706,nan,nan,nan
1697739298.3618407,nan,nan,nan
1697739298.4613142,nan,nan,nan
1697739298.5618334,nan,nan,nan
1697739298.6611435,nan,nan,nan
1697739298.7616236,nan,nan,nan
1697739298.861403,nan,nan,nan
1697739298.9616501,nan,nan,nan
1697739299.0613034,nan,nan,nan
1697739299.161471,nan,nan,nan
1697739299.26163,nan,nan,nan
1697739299.3612857,nan,nan,nan
1697739299.4615135,nan,nan,nan
1697739299.561354,nan,nan,nan
1697739299.6615283,nan,nan,nan
1697739299.7616487,nan,nan,nan
1697739299.8619173,nan,nan,nan
1697739299.9613974,nan,nan,nan
1697739300.0618763,nan,nan,nan
1697739300.1616895,nan,nan,nan
1697739300.2616518,nan,nan,nan
1697739300.361751,nan,nan,nan
1697739300.4612248,nan,nan,nan
1697739300.5616517,nan,nan,nan
1697739300.6613665,nan,nan,nan
1697739300.7617345,nan,nan,nan
1697739300.8614404,nan,nan,nan
1697739300.9616733,nan,nan,nan
1697739301.061585,nan,nan,nan
1697739301.1615472,nan,nan,nan
1697739301.2616146,nan,nan,nan
1697739301.361204,nan,nan,nan
1697739301.461707,nan,nan,nan
1697739301.5613728,nan,nan,nan
1697739301.6615925,nan,nan,nan
1697739301.761353,nan,nan,nan
1697739301.8617804,nan,nan,nan
1697739301.9615254,nan,nan,nan
1697739302.061376,nan,nan,nan
1697739302.1616938,nan,nan,nan
1697739302.2611861,nan,nan,nan
1697739302.361546,nan,nan,nan
1697739302.4614854,nan,nan,nan
1697739302.561085,nan,nan,nan
1697739302.6613772,nan,nan,nan
1697739302.7617483,nan,nan,nan
1697739302.8616025,nan,nan,nan
1697739302.9611897,nan,nan,nan
1697739303.0614588,nan,nan,nan
1697739303.161629,nan,nan,nan
1697739303.2615676,nan,nan,nan
1697739303.3616772,nan,nan,nan
1697739303.46156,nan,nan,nan
1697739303.5612273,nan,nan,nan
1697739303.6615887,nan,nan,nan
1697739303.761445,nan,nan,nan
1697739303.8612173,nan,nan,nan
1697739303.9619837,nan,nan,nan
1697739304.061487,nan,nan,nan
1697739304.1616523,nan,nan,nan
1697739304.2617981,nan,nan,nan
1697739304.3613567,nan,nan,nan
1697739304.4613495,nan,nan,nan
1697739304.5616696,nan,nan,nan
1697739304.6615114,nan,nan,nan
1697739304.7624729,nan,nan,nan
1697739304.861619,nan,nan,nan
1697739304.9620397,nan,nan,nan
1697739305.0617087,nan,nan,nan
1697739305.1610217,nan,nan,nan
1697739305.2614627,nan,nan,nan
1697739305.3612137,nan,nan,nan
1697739305.4613838,nan,nan,nan
1697739305.5622015,nan,nan,nan
1697739305.6612463,nan,nan,nan
1697739305.7627687,nan,nan,nan
1697739305.8619177,nan,nan,nan
1697739305.96294,nan,nan,nan
1697739306.0635884,nan,nan,nan
1697739306.16227,nan,nan,nan
1697739306.2621803,nan,nan,nan
1697739306.3622468,nan,nan,nan
1697739306.4612443,nan,nan,nan
1697739306.5613494,nan,nan,nan
1697739306.6615918,nan,nan,nan
1697739306.7620873,nan,nan,nan
1697739306.8616807,nan,nan,nan
1697739306.9625869,nan,nan,nan
1697739307.0622985,nan,nan,nan
1697739307.1620157,nan,nan,nan
1697739307.2622035,nan,nan,nan
1697739307.361765,nan,nan,nan
1697739307.4614086,nan,nan,nan
1697739307.5619268,nan,nan,nan
1697739307.66175,nan,nan,nan
1697739307.762769,nan,nan,nan
1697739307.8625522,nan,nan,nan
1697739307.9617178,nan,nan,nan
1697739308.061399,nan,nan,nan
1697739308.1619494,nan,nan,nan
1697739308.2621233,nan,nan,nan
1697739308.3616645,nan,nan,nan
1697739308.4618905,nan,nan,nan
1697739308.5620823,nan,nan,nan
1697739308.6616862,nan,nan,nan
1697739308.762428,nan,nan,nan
1697739308.8618233,nan,nan,nan
1697739308.9623501,nan,nan,nan
1697739309.0621955,nan,nan,nan
1697739309.1617367,nan,nan,nan
1697739309.261563,nan,nan,nan
1697739309.3619523,nan,nan,nan
1697739309.4625137,nan,nan,nan
1697739309.5618138,nan,nan,nan
1697739309.662344,nan,nan,nan
1697739309.7618363,nan,nan,nan
1697739309.861985,nan,nan,nan
1697739309.9631593,nan,nan,nan
1697739310.0635164,nan,nan,nan
1697739310.1614068,nan,nan,nan
1697739310.261976,nan,nan,nan
1697739310.3620152,nan,nan,nan
1697739310.4618893,nan,nan,nan
1697739310.5629075,nan,nan,nan
1697739310.6617706,nan,nan,nan
1697739310.7615633,nan,nan,nan
1697739310.8622468,nan,nan,nan
1697739310.96183,nan,nan,nan
1697739311.0613072,nan,nan,nan
1697739311.161875,nan,nan,nan
1697739311.262486,nan,nan,nan
1697739311.3619945,nan,nan,nan
1697739311.4621987,nan,nan,nan
1697739311.5621173,nan,nan,nan
1697739311.6616442,nan,nan,nan
1697739311.7621047,nan,nan,nan
1697739311.8618486,nan,nan,nan
1697739311.9616675,nan,nan,nan
1697739312.0620403,nan,nan,nan
1697739312.1621602,nan,nan,nan
1697739312.2617285,nan,nan,nan
1697739312.3622015,nan,nan,nan
1697739312.462258,nan,nan,nan
1697739312.5617735,nan,nan,nan
1697739312.662199,nan,nan,nan
1697739312.7621014,nan,nan,nan
1697739312.8614872,nan,nan,nan
1697739312.9621677,nan,nan,nan
1697739313.0615208,nan,nan,nan
1697739313.1619425,nan,nan,nan
1697739313.262187,nan,nan,nan
1697739313.3617685,nan,nan,nan
1697739313.4617598,nan,nan,nan
1697739313.561821,nan,nan,nan
1697739313.6615086,nan,nan,nan
1697739313.7613056,nan,nan,nan
1697739313.8618858,nan,nan,nan
1697739313.9624112,nan,nan,nan
1697739314.0617013,nan,nan,nan
1697739314.1622193,nan,nan,nan
1697739314.2617354,nan,nan,nan
1697739314.3616846,nan,nan,nan
1697739314.4618278,nan,nan,nan
1697739314.5627654,nan,nan,nan
1697739314.6615398,nan,nan,nan
1697739314.7619867,nan,nan,nan
1697739314.8622582,nan,nan,nan
1697739314.9615803,nan,nan,nan
1697739315.0618808,nan,nan,nan
1697739315.1619,nan,nan,nan
1697739315.26184,nan,nan,nan
1697739315.3621001,nan,nan,nan
1697739315.4611523,nan,nan,nan
1697739315.5613227,nan,nan,nan
1697739315.6616814,nan,nan,nan
1697739315.761871,nan,nan,nan
1697739315.8615408,nan,nan,nan
1697739315.9617217,nan,nan,nan
1697739316.061759,nan,nan,nan
1697739316.1617496,nan,nan,nan
1697739316.2619593,nan,nan,nan
1697739316.3613129,nan,nan,nan
1697739316.4613721,nan,nan,nan
1697739316.5617356,nan,nan,nan
1697739316.6616344,nan,nan,nan
1697739316.7616694,nan,nan,nan
1697739316.8623855,nan,nan,nan
1697739316.9619277,nan,nan,nan
1697739317.0616567,nan,nan,nan
1697739317.161974,nan,nan,nan
1697739317.260949,nan,nan,nan
1697739317.3607888,nan,nan,nan
1697739317.4613159,nan,nan,nan
1697739317.5611098,nan,nan,nan
1697739317.6616378,nan,nan,nan
1697739317.761774,nan,nan,nan
1697739317.8622222,nan,nan,nan
1697739317.9614902,nan,nan,nan
1697739318.0624082,nan,nan,nan
1697739318.161516,nan,nan,nan
1697739318.2610729,nan,nan,nan
1697739318.3616664,nan,nan,nan
1697739318.461892,nan,nan,nan
1697739318.5616162,nan,nan,nan
1697739318.6620207,nan,nan,nan
1697739318.7617679,nan,nan,nan
1697739318.8614411,nan,nan,nan
1697739318.9617267,nan,nan,nan
1697739319.0614588,nan,nan,nan
1697739319.1613588,nan,nan,nan
1697739319.2616634,nan,nan,nan
1697739319.3615246,nan,nan,nan
1697739319.4619932,nan,nan,nan
1697739319.5617535,nan,nan,nan
1697739319.6618836,nan,nan,nan
1697739319.7617528,nan,nan,nan
1697739319.8625104,nan,nan,nan
1697739319.9619937,nan,nan,nan
1697739320.0617127,nan,nan,nan
1697739320.1614342,nan,nan,nan
1697739320.261688,nan,nan,nan
1697739320.3616502,nan,nan,nan
1697739320.46178,nan,nan,nan
1697739320.5618212,nan,nan,nan
1697739320.661144,nan,nan,nan
1697739320.7619245,nan,nan,nan
1697739320.8616638,nan,nan,nan
1697739320.961381,nan,nan,nan
1697739321.0618522,nan,nan,nan
1697739321.1628091,nan,nan,nan
1697739321.2616587,nan,nan,nan
1697739321.361921,nan,nan,nan
1697739321.4620194,nan,nan,nan
1697739321.5613732,nan,nan,nan
1697739321.6620748,nan,nan,nan
1697739321.7618475,nan,nan,nan
1697739321.8615882,nan,nan,nan
1697739321.9621239,nan,nan,nan
1697739322.062425,nan,nan,nan
1697739322.161689,nan,nan,nan
1697739322.261957,nan,nan,nan
1697739322.3620021,nan,nan,nan
1697739322.4620636,nan,nan,nan
1697739322.561612,nan,nan,nan
1697739322.6612375,nan,nan,nan
1697739322.761524,nan,nan,nan
1697739322.8617816,nan,nan,nan
1697739322.963131,nan,nan,nan
1697739323.0615606,nan,nan,nan
1697739323.1621168,nan,nan,nan
1697739323.2618184,nan,nan,nan
1697739323.361627,nan,nan,nan
1697739323.4625309,nan,nan,nan
1697739323.5616615,nan,nan,nan
1697739323.661453,nan,nan,nan
1697739323.761926,nan,nan,nan
1697739323.861785,nan,nan,nan
1697739323.961781,nan,nan,nan
1697739324.0616167,nan,nan,nan
1697739324.1625464,nan,nan,nan
1697739324.261797,nan,nan,nan
1697739324.361707,nan,nan,nan
1697739324.4618738,nan,nan,nan
1697739324.5612411,nan,nan,nan
1697739324.6614552,nan,nan,nan
1697739324.7615182,nan,nan,nan
1697739324.8617036,nan,nan,nan
1697739324.9622931,nan,nan,nan
1697739325.0616305,nan,nan,nan
1697739325.1615527,nan,nan,nan
1697739325.262212,nan,nan,nan
1697739325.3616161,nan,nan,nan
1697739325.461308,nan,nan,nan
1697739325.56192,nan,nan,nan
1697739325.6615732,nan,nan,nan
1697739325.7615552,nan,nan,nan
1697739325.8621235,nan,nan,nan
1697739325.9617343,nan,nan,nan
1697739326.0618455,nan,nan,nan
1697739326.16179,nan,nan,nan
1697739326.2612002,nan,nan,nan
1697739326.3613932,nan,nan,nan
1697739326.461623,nan,nan,nan
1697739326.5617785,nan,nan,nan
1697739326.6614745,nan,nan,nan
1697739326.7623572,nan,nan,nan
1697739326.8618503,nan,nan,nan
1697739326.9616969,nan,nan,nan
1697739327.0620506,nan,nan,nan
1697739327.1614518,nan,nan,nan
1697739327.2612715,nan,nan,nan
1697739327.3615634,nan,nan,nan
1697739327.461527,nan,nan,nan
1697739327.5619745,nan,nan,nan
1697739327.6620362,nan,nan,nan
1697739327.7622898,nan,nan,nan
1697739327.8612497,nan,nan,nan
1697739327.9624128,nan,nan,nan
1697739328.061152,nan,nan,nan
1697739328.1615465,nan,nan,nan
1697739328.2617908,nan,nan,nan
1697739328.3620975,nan,nan,nan
1697739328.4617999,nan,nan,nan
1697739328.5619977,nan,nan,nan
1697739328.6615808,nan,nan,nan
1697739328.7613804,nan,nan,nan
1697739328.8617547,nan,nan,nan
1697739328.9615486,nan,nan,nan
1697739329.0613415,nan,nan,nan
1697739329.1616335,nan,nan,nan
1697739329.2617593,nan,nan,nan
1697739329.361539,nan,nan,nan
1697739329.4620209,nan,nan,nan
1697739329.56173,nan,nan,nan
1697739329.6616273,nan,nan,nan
1697739329.7621083,nan,nan,nan
1697739329.8618438,nan,nan,nan
1697739329.9612825,nan,nan,nan
1697739330.061935,nan,nan,nan
1697739330.1615286,nan,nan,nan
1697739330.2617562,nan,nan,nan
1697739330.3621373,nan,nan,nan
1697739330.4621434,nan,nan,nan
1697739330.5623252,nan,nan,nan
1697739330.6616437,nan,nan,nan
1697739330.7616239,nan,nan,nan
1697739330.8609471,nan,nan,nan
1697739330.962042,nan,nan,nan
1697739331.0616086,nan,nan,nan
1697739331.1619925,nan,nan,nan
1697739331.2615142,nan,nan,nan
1697739331.3620458,nan,nan,nan
1697739331.461638,nan,nan,nan
1697739331.5619535,nan,nan,nan
1697739331.661757,nan,nan,nan
1697739331.7618368,nan,nan,nan
1697739331.8623302,nan,nan,nan
1697739331.9621353,nan,nan,nan
1697739332.0618663,nan,nan,nan
1697739332.1618505,nan,nan,nan
1697739332.2620919,nan,nan,nan
1697739332.3619628,nan,nan,nan
1697739332.4626102,nan,nan,nan
1697739332.562258,nan,nan,nan
1697739332.6626222,nan,nan,nan
1697739332.7634876,nan,nan,nan
1697739332.8622987,nan,nan,nan
1697739332.9624352,nan,nan,nan
1697739333.0627587,nan,nan,nan
1697739333.163413,nan,nan,nan
1697739333.2619817,nan,nan,nan
1697739333.3626893,nan,nan,nan
1697739333.462504,nan,nan,nan
1697739333.5613868,nan,nan,nan
1697739333.662377,nan,nan,nan
1697739333.7621217,nan,nan,nan
1697739333.8621452,nan,nan,nan
1697739333.962119,nan,nan,nan
1697739334.0625334,nan,nan,nan
1697739334.162012,nan,nan,nan
1697739334.2623188,nan,nan,nan
1697739334.3622658,nan,nan,nan
1697739334.46173,nan,nan,nan
1697739334.5619912,nan,nan,nan
1697739334.6613688,nan,nan,nan
1697739334.7624154,nan,nan,nan
1697739334.8622792,nan,nan,nan
1697739334.9629998,nan,nan,nan
1697739335.0618968,nan,nan,nan
1697739335.16188,nan,nan,nan
1697739335.2623382,nan,nan,nan
1697739335.3613338,nan,nan,nan
1697739335.4628172,nan,nan,nan
1697739335.5614696,nan,nan,nan
1697739335.6614099,nan,nan,nan
1697739335.7621152,nan,nan,nan
1697739335.863374,nan,nan,nan
1697739335.9623735,nan,nan,nan
1697739336.0620477,nan,nan,nan
1697739336.1625028,nan,nan,nan
1697739336.2610264,nan,nan,nan
1697739336.3625145,nan,nan,nan
1697739336.462087,nan,nan,nan
1697739336.5622938,nan,nan,nan
1697739336.662378,nan,nan,nan
1697739336.7632139,nan,nan,nan
1697739336.8633332,nan,nan,nan
1697739336.962046,nan,nan,nan
1697739337.0625165,nan,nan,nan
1697739337.1617177,nan,nan,nan
1697739337.2624202,nan,nan,nan
1697739337.3622417,nan,nan,nan
1697739337.4624465,nan,nan,nan
1697739337.5623987,nan,nan,nan
1697739337.6625412,nan,nan,nan
1697739337.7619216,nan,nan,nan
1697739337.861989,nan,nan,nan
1697739337.962475,nan,nan,nan
1697739338.0611415,nan,nan,nan
1697739338.1624691,nan,nan,nan
1697739338.2628214,nan,nan,nan
1697739338.3629375,nan,nan,nan
1697739338.463024,nan,nan,nan
1697739338.5635357,nan,nan,nan
1697739338.6618693,nan,nan,nan
1697739338.7622764,nan,nan,nan
1697739338.8621802,nan,nan,nan
1697739338.9612892,nan,nan,nan
1697739339.0617626,nan,nan,nan
1697739339.1614816,nan,nan,nan
1697739339.261913,nan,nan,nan
1697739339.3615494,nan,nan,nan
1697739339.4619691,nan,nan,nan
1697739339.5615785,nan,nan,nan
1697739339.661937,nan,nan,nan
1697739339.7616987,nan,nan,nan
1697739339.8608024,nan,nan,nan
1697739339.9616866,nan,nan,nan
1697739340.0624208,nan,nan,nan
1697739340.1629858,nan,nan,nan
1697739340.2617414,nan,nan,nan
1697739340.3621633,nan,nan,nan
1697739340.4617586,nan,nan,nan
1697739340.5622394,nan,nan,nan
1697739340.6622732,nan,nan,nan
1697739340.761561,nan,nan,nan
1697739340.8620937,nan,nan,nan
1697739340.9614105,nan,nan,nan
1697739341.0615587,nan,nan,nan
1697739341.1614895,nan,nan,nan
1697739341.262242,nan,nan,nan
1697739341.3616092,nan,nan,nan
1697739341.462324,nan,nan,nan
1697739341.562069,nan,nan,nan
1697739341.660907,nan,nan,nan
1697739341.7618046,nan,nan,nan
1697739341.8616815,nan,nan,nan
1697739341.9619234,nan,nan,nan
1697739342.0623007,nan,nan,nan
1697739342.161773,nan,nan,nan
1697739342.2615309,nan,nan,nan
1697739342.3633194,nan,nan,nan
1697739342.4623964,nan,nan,nan
1697739342.5610356,nan,nan,nan
1697739342.66172,nan,nan,nan
1697739342.7609696,nan,nan,nan
1697739342.8613713,nan,nan,nan
1697739342.9612355,nan,nan,nan
1697739343.0618906,nan,nan,nan
1697739343.1621227,nan,nan,nan
1697739343.2610967,nan,nan,nan
1697739343.361321,nan,nan,nan
1697739343.460345,nan,nan,nan
1697739343.561296,nan,nan,nan
1697739343.661289,nan,nan,nan
1697739343.7615337,nan,nan,nan
1697739343.861366,nan,nan,nan
1697739343.961838,nan,nan,nan
1697739344.061733,nan,nan,nan
1697739344.1625116,nan,nan,nan
1697739344.262223,nan,nan,nan
1697739344.361982,nan,nan,nan
1697739344.4624856,nan,nan,nan
1697739344.5626857,nan,nan,nan
1697739344.6627064,nan,nan,nan
1697739344.7615879,nan,nan,nan
1697739344.8618221,nan,nan,nan
1697739344.9613814,nan,nan,nan
1697739345.0617962,nan,nan,nan
1697739345.1613343,nan,nan,nan
1697739345.2614834,nan,nan,nan
1697739345.3614733,nan,nan,nan
1697739345.4619033,nan,nan,nan
1697739345.561538,nan,nan,nan
1697739345.6615734,nan,nan,nan
1697739345.7617106,nan,nan,nan
1697739345.8605423,nan,nan,nan
1697739345.9612663,nan,nan,nan
1697739346.0622513,nan,nan,nan
1697739346.1610708,nan,nan,nan
1697739346.2613711,nan,nan,nan
1697739346.3616035,nan,nan,nan
1697739346.461412,nan,nan,nan
1697739346.5613122,nan,nan,nan
1697739346.661509,nan,nan,nan
1697739346.760885,nan,nan,nan
1697739346.861728,nan,nan,nan
1697739346.961125,nan,nan,nan
1697739347.0612788,nan,nan,nan
1697739347.1616988,nan,nan,nan
1697739347.2621326,nan,nan,nan
1697739347.3615806,nan,nan,nan
1697739347.461439,nan,nan,nan
1697739347.561849,nan,nan,nan
1697739347.661237,nan,nan,nan
1697739347.7616289,nan,nan,nan
1697739347.8613079,nan,nan,nan
1697739347.9612327,nan,nan,nan
1697739348.0618005,nan,nan,nan
1697739348.161052,nan,nan,nan
1697739348.2613807,nan,nan,nan
1697739348.3612428,nan,nan,nan
1697739348.462187,nan,nan,nan
1697739348.561919,nan,nan,nan
1697739348.661827,nan,nan,nan
1697739348.7613568,nan,nan,nan
1697739348.8613107,nan,nan,nan
1697739348.9612405,nan,nan,nan
1697739349.0613728,nan,nan,nan
1697739349.1614933,nan,nan,nan
1697739349.2617376,nan,nan,nan
1697739349.3614278,nan,nan,nan
1697739349.4609652,nan,nan,nan
1697739349.5616484,nan,nan,nan
1697739349.6614895,nan,nan,nan
1697739349.761612,nan,nan,nan
1697739349.8616219,nan,nan,nan
1697739349.9620907,nan,nan,nan
1697739350.0618105,nan,nan,nan
1697739350.1628485,nan,nan,nan
1697739350.2618716,nan,nan,nan
1697739350.361195,nan,nan,nan
1697739350.4617708,nan,nan,nan
1697739350.5613225,nan,nan,nan
1697739350.6609704,nan,nan,nan
1697739350.761572,nan,nan,nan
1697739350.8629363,nan,nan,nan
1697739350.9616024,nan,nan,nan
